#word	justification

#⁰₋₁e⁻	TODO
#⁰₁e⁺	TODO
#0,2 MeV	TODO
#1,234	before 1.234, [one point two hundred and thirty four thousand]
#1.234	after 1,234, [one thousant and two hundred and thurty four]
#1 m²	TODO
#¹²C	TODO
#6 m²	TODO
'14-'18	[WWI in Belgium]
16m²	[type of boat]
16 m²	[sixteen square meters]
#166 m²	TODO
#4⁴ °C	TODO
#44 °C	TODO
#44 graden Celcius	TODO
#44 graden C	TODO
2D-projectie	before 2D-projecties
2D-projecties	before 3D-projectie
3D-projectie	before 3D-projecties
3D-projecties	after 3D-projectie
10 eurobiljet	TODO
50 eurobiljet	after 10 eurobiljet
100 eurobiljet	TODO
3VO	before '40-'45, [organisation for road safeity]
'40-'45	[WWII in the Netherlands]
65-kaart	...
65+'er	...
65+-kaart	...
#10²⁰ Hz	TODO
#⁵⁶Fe	TODO

a	...
a.	...
a-	...
A	...
Å	...
A.	...
á	...
à	...
â	...
ä	...
ā	...
å	...
α	...
A4	...
AA	...
aanw. vnw.	...
Åland	...
alfadeeltje	Greek
α-deeltje	Greek
ångström	...
aub	...
a.u.b.	...
aug.	before augustus
augustus	after aug.

BB	before B&B
B&B	after BB
bestand.txt	TODO
bestand12.txt	TODO
bestand2.txt	TODO
bestand-backup.txt	TODO
bètastraling	Greek
β-straling	Greek
#β⁻-straling	Greek
#β⁺-straling	Greek
bijectie	ij diphtone
bijna	ij diphtone
#bĳna	ij diphtone
Bonaire, Sint-Eustatius & Saba
Bonaire, Sint-Eustatius en Saba
#boek	TODO?
#bœk	TODO?

C31	before C32
C 31	...
C-31	...
C32	after C31
C 32	...
C-32	...
ca.	...
CA	...
C&A	...
callout	before call out
call out	after callout, before call-out
call-out	after call out
CD&V'er	...
χ²-toets	...
chi-kwadraattoets	...
c.i.a.	...
cijfer	before cijfer-
cijfer-	after cijfer
cijfer- en letterwoorden	after cijfer-
#Cl⁻	...
CO2-emissie	...
CO₂-emissie	...
ct	...
c.t.	...
curacao	...
Curacao	...
curaçao	...
Curaçao	...

d.d.	...
DDT	...

een	...
één	...

gammastraling	Greek
γ-straling	Greek
#gantsche	TODO? old Dutch
#gantſche	TODO? old Dutch
Giessendam/Neder-Hardinxveld
#Grüssen	TODO? German
#Grüßen	TODO? German
#GRÜSSEN	TODO? German
#GRÜẞEN	TODO? German

#H⁺	TODO chemistry
#He²⁺	TODO chemistry
#helium	TODO chemistry
#helium-4-atoom	TODO chemistry
#HNO₃-oplossing	TODO chemistry

iglo	before ij-ligatuur
#ĳ-ligatuur	...
ij-ligatuur	...
ijsvogel	...
#ĳsvogel	...
Ijsvogel	...
IJsvogel	...
#Ĳsvogel	...
ik	...
input/output	...
I/O	...

k/h	...
kilometer	...
klaar	...
km/s	...

#Laan van Koge	...
#Laan van Køge	...
lambdacalculus	Greek
λ-calculus	Greek
letterwoorden	after cijfer- en letterwoorden

m	...
µm	Greek
m2	...
m²	...
m3	...
m³	...
micrometer	...

#na	TODO chemistry
#Na⁺	TODO chemistry
#natrium	TODO chemistry
#NH₃	TODO chemistry
#NH₄⁺	TODO chemistry
NOCNSF	...
NOC NSF	...
NOC-NSF	...
NOC*NSF	...
NOC/NSF	...

P	...
π	Greek
π²	Greek
π-dag	Greek
pi	...

#ß-ligatuur	TODO? for Dutch texts on German grammer and spelling
#ſs-ligatuur	TODO? for Dutch texts on German grammer and spelling
s	...
S.	...
's avonds	...
senor	before señor
señor	after senor
's-Hertogenbosch	...
sigmaregel	Greek
Σ-regel	Greek
sint-bernardshond	before Sint-Maarten
Sint-Maarten	after sint-bernardshond
#ss-ligatuur	...
Slotervaart Overtoomse Veld	...
Slotervaart-Overtoomse Veld	...
Slotervaart/Overtoomse Veld	...
Slotervaart/Overtoomse-Veld	...
Slotervaart/Overtoomse/Veld	...
smorgasbord	before smörgasbord
smörgasbord	after smorgasbord
smorgåsbord	...
smörgåsbord	...
's ochtends	...
#SO₄²⁻	...
#staat	TODO?
#staete	TODO?
#stæte	TODO?
St.-Eustatius	...
St.-Maarten	...
#sz-ligatuur	...

tv	befote tv's
tv's	after tv

vri	...
vrij	...
#vrĳ	TODO?
vrj	...
vrk	...
vry	...

ysvogel	incorrect spelling, before Ysvogel
Ysvogel	incorrect spelling, after ysvogel

zgn.	...
zoeven	before zo-even, [buzzing]
zo-even	after zoeven, [in a bit]
